Source	Target	Weight	Direction
hsa:3265	hsa:3845	1	0
hsa:3265	hsa:4893	1	0
hsa:3845	hsa:4893	1	0
hsa:369	hsa:5894	1	0
hsa:369	hsa:673	1	0
hsa:5894	hsa:673	1	0
hsa:3265	hsa:369	2	1
hsa:3265	hsa:5894	2	1
hsa:3265	hsa:673	2	1
hsa:3845	hsa:369	1	1
hsa:3845	hsa:5894	1	1
hsa:3845	hsa:673	1	1
hsa:4893	hsa:369	1	1
hsa:4893	hsa:5894	1	1
hsa:4893	hsa:673	1	1
hsa:5604	hsa:5605	1	0
hsa:369	hsa:5604	2	1
hsa:369	hsa:5605	2	1
hsa:5894	hsa:5604	2	1
hsa:5894	hsa:5605	2	1
hsa:673	hsa:5604	2	1
hsa:673	hsa:5605	2	1
hsa:5594	hsa:5595	1	0
hsa:5604	hsa:5594	2	1
hsa:5604	hsa:5595	2	1
hsa:5605	hsa:5594	2	1
hsa:5605	hsa:5595	2	1
hsa:5594	hsa:9252	2	1
hsa:5595	hsa:9252	2	1
hsa:1950	hsa:1956	1	1
hsa:1950	hsa:2064	1	1
hsa:1029	hsa:1019	1	0
hsa:595	hsa:5925	1	0
hsa:1019	hsa:595	1	0
hsa:2261	hsa:3265	1	1
hsa:2261	hsa:3845	1	1
hsa:2261	hsa:4893	1	1
hsa:1869	hsa:1870	1	0
hsa:1869	hsa:1871	1	0
hsa:1870	hsa:1871	1	0
hsa:1869	hsa:5925	1	0
hsa:1870	hsa:5925	1	0
hsa:1871	hsa:5925	1	0
hsa:4193	hsa:7157	1	1
hsa:1612	hsa:1613	1	0
hsa:1612	hsa:23604	1	0
hsa:1613	hsa:23604	1	0
hsa:1612	hsa:5594	1	1
hsa:1612	hsa:5595	1	1
hsa:1613	hsa:5594	1	1
hsa:1613	hsa:5595	1	1
hsa:23604	hsa:5594	1	1
hsa:23604	hsa:5595	1	1
hsa:11186	hsa:3265	1	1
hsa:11186	hsa:3845	1	1
hsa:11186	hsa:4893	1	1
hsa:1026	hsa:1019	1	0
hsa:1029	hsa:4193	1	1
