Source	Target	Weight	Direction
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	1	0
hsa:10912	hsa:4616	1	0
hsa:1647	hsa:4616	1	0
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:23462	hsa:23493	1	0
hsa:23462	hsa:26508	1	0
hsa:23493	hsa:26508	1	0
hsa:23462	hsa:2064	1	1
hsa:23493	hsa:2064	1	1
hsa:26508	hsa:2064	1	1
hsa:23462	hsa:4791	1	1
hsa:23493	hsa:4791	1	1
hsa:26508	hsa:4791	1	1
hsa:23462	hsa:4609	1	1
hsa:23493	hsa:4609	1	1
hsa:26508	hsa:4609	1	1
hsa:23462	hsa:1026	1	1
hsa:23493	hsa:1026	1	1
hsa:26508	hsa:1026	1	1
hsa:23462	hsa:595	1	1
hsa:23493	hsa:595	1	1
hsa:26508	hsa:595	1	1
hsa:3280	hsa:388585	1	0
hsa:3280	hsa:2064	1	1
hsa:388585	hsa:2064	1	1
hsa:3280	hsa:4791	1	1
hsa:388585	hsa:4791	1	1
hsa:3280	hsa:4609	1	1
hsa:388585	hsa:4609	1	1
hsa:3280	hsa:1026	1	1
hsa:388585	hsa:1026	1	1
hsa:3280	hsa:595	1	1
hsa:388585	hsa:595	1	1
hsa:2246	hsa:2247	1	0
hsa:2246	hsa:2248	1	0
hsa:2246	hsa:2249	1	0
hsa:2246	hsa:2250	1	0
hsa:2246	hsa:2251	1	0
hsa:2246	hsa:2252	1	0
hsa:2246	hsa:2253	1	0
hsa:2246	hsa:2254	1	0
hsa:2246	hsa:2255	1	0
hsa:2246	hsa:26281	1	0
hsa:2246	hsa:26291	1	0
hsa:2246	hsa:27006	1	0
hsa:2246	hsa:8074	1	0
hsa:2246	hsa:8817	1	0
hsa:2246	hsa:8822	1	0
hsa:2246	hsa:8823	1	0
hsa:2246	hsa:9965	1	0
hsa:2247	hsa:2248	1	0
hsa:2247	hsa:2249	1	0
hsa:2247	hsa:2250	1	0
hsa:2247	hsa:2251	1	0
hsa:2247	hsa:2252	1	0
hsa:2247	hsa:2253	1	0
hsa:2247	hsa:2254	1	0
hsa:2247	hsa:2255	1	0
hsa:2247	hsa:26281	1	0
hsa:2247	hsa:26291	1	0
hsa:2247	hsa:27006	1	0
hsa:2247	hsa:8074	1	0
hsa:2247	hsa:8817	1	0
hsa:2247	hsa:8822	1	0
hsa:2247	hsa:8823	1	0
hsa:2247	hsa:9965	1	0
hsa:2248	hsa:2249	1	0
hsa:2248	hsa:2250	1	0
hsa:2248	hsa:2251	1	0
hsa:2248	hsa:2252	1	0
hsa:2248	hsa:2253	1	0
hsa:2248	hsa:2254	1	0
hsa:2248	hsa:2255	1	0
hsa:2248	hsa:26281	1	0
hsa:2248	hsa:26291	1	0
hsa:2248	hsa:27006	1	0
hsa:2248	hsa:8074	1	0
hsa:2248	hsa:8817	1	0
hsa:2248	hsa:8822	1	0
hsa:2248	hsa:8823	1	0
hsa:2248	hsa:9965	1	0
hsa:2249	hsa:2250	1	0
